id,name,brand,is_clone,clone_of,notes,raw_image_url,clean_image_url,price_history,status
71,ultra-male,jean-paul-gaultier,False,,"pear, lavender, mint, bergamot, lemon, cinnamon, clary sage, caraway, black vanilla husk, amber, patchouli, cedar",https://fimgs.net/images/perfume/nd.30947.jpg,,,
72,kenzo-jungle-l-elephant,kenzo,False,,"cloves, cumin, mandarin orange, cardamom, caraway, licorice, mango, ylang-ylang, heliotrope, gardenia, vanilla, amber, patchouli",https://fimgs.net/images/perfume/nd.70.jpg,,,
73,the-one-for-men,dolce-gabbana,False,,"grapefruit, coriander, basil, ginger, cardamom, orange blossom, amber, tobacco, cedar",https://fimgs.net/images/perfume/nd.2056.jpg,,,
74,allure-homme-sport,chanel,False,,"orange, sea notes, aldehydes, blood mandarin, pepper, neroli, cedar, vanilla, tonka bean, white musk, amber, vetiver, elemi resin",https://fimgs.net/images/perfume/nd.607.jpg,,,
75,coco-eau-de-parfum,chanel,False,,"bulgarian rose, coriander, peach, jasmine, mandarin orange, cloves, rose, orange blossom, mimosa, clover, amber, sandalwood, tonka bean, opoponax, civet, vanilla, labdanum",https://fimgs.net/images/perfume/nd.609.jpg,,,
76,nautica-voyage,nautica,False,,"green leaves, apple, lotus, mimosa, musk, cedar, oakmoss, amber",https://fimgs.net/images/perfume/nd.913.jpg,,,
77,olympea,paco-rabanne,False,,"water jasmine, green mandarin, ginger flower, vanilla, salt, ambergris, cashmere wood, sandalwood",https://fimgs.net/images/perfume/nd.31666.jpg,,,
78,dune,dior,False,,"brazilian rosewood, aldehydes, mandarin orange, bergamot, peony, lily, ylang-ylang, wallflower, jasmine, rose, amber, sandalwood, benzoin, oakmoss, vanilla, patchouli, musk",https://fimgs.net/images/perfume/nd.221.jpg,,,
79,angels-share,by-kilian,False,,"cognac, cinnamon, tonka bean, oak, vanilla, praline, sandalwood",https://fimgs.net/images/perfume/nd.62615.jpg,,,
80,tresor,lancome,False,,"peach, rose, apricot blossom, lilac, pineapple, lily-of-the-valley, bergamot, iris, heliotrope, jasmine, apricot, vanilla, sandalwood, amber, musk",https://fimgs.net/images/perfume/nd.172.jpg,,,
81,ange-ou-demon,givenchy,False,,"saffron, thyme, mandarin orange, lily, ylang-ylang, orchid, vanilla, tonka bean, brazilian rosewood, oakmoss",https://fimgs.net/images/perfume/nd.701.jpg,,,
82,bal-d-afrique,byredo,False,,"amalfi lemon, tagetes, black currant, bergamot, african orange flower, violet, cyclamen, jasmine, vetiver, musk, amber, virginia cedar",https://fimgs.net/images/perfume/nd.6458.jpg,,,
83,cheap-chic-i-love-love,moschino,False,,"grapefruit, orange, lemon, red currant, sugar cane, bulrush, lily-of-the-valley, tea rose, cinnamon, musk, cedar, thanaka wood",https://fimgs.net/images/perfume/nd.728.jpg,,,
84,chance-eau-de-toilette,chanel,False,,"patchouli, pink pepper, pineapple, hiacynth, iris, lemon, jasmine, rose, musk, vetiver, vanilla",https://fimgs.net/images/perfume/nd.610.jpg,,,
85,noa,cacharel,False,,"white musk, peony, freesia, green notes, peach, plum, lily, lily-of-the-valley, green grass, jasmine, ylang-ylang, rose, coffee, vanilla, sandalwood, coriander, incense, tonka bean, cedar",https://fimgs.net/images/perfume/nd.242.jpg,,,
86,poeme,lancome,False,,"narcissus, datura, peach, plum, himalayan poppy, mandarin orange, black currant, bergamot, green notes, mimosa, vanilla flower, tuberose, ylang-ylang, orange blossom, jasmine, freesia, heliotrope, rose, leather, vanilla, amber, tonka bean, musk, cedar",https://fimgs.net/images/perfume/nd.171.jpg,,,
87,daisy,marc-jacobs,False,,"violet leaf, blood grapefruit, strawberry, violet, gardenia, jasmine, musk, white woods, vanilla",https://fimgs.net/images/perfume/nd.1361.jpg,,,
88,narciso-rodriguez-for-her-eau-de-parfum,narciso-rodriguez,False,,"rose, peach, musk, amber, patchouli, sandalwood",https://fimgs.net/images/perfume/nd.14319.jpg,,,
89,jazz-club,maison-martin-margiela,False,,"pink pepper, neroli, lemon, rum, java vetiver oil, clary sage, tobacco leaf, vanilla bean, styrax",https://fimgs.net/images/perfume/nd.20541.jpg,,,
90,spicebomb,viktor-rolf,False,,"pink pepper, elemi, bergamot, grapefruit, cinnamon, saffron, paprika, tobacco, leather, vetiver",https://fimgs.net/images/perfume/nd.13857.jpg,,,
91,layton,parfums-de-marly,False,,"apple, lavender, bergamot, mandarin orange, geranium, violet, jasmine, vanilla, cardamom, sandalwood, pepper, guaiac wood, patchouli",https://fimgs.net/images/perfume/nd.39314.jpg,,,
92,classique,jean-paul-gaultier,False,,"orange blossom, star anise, rose, mandarin orange, pear, bergamot, ylang-ylang, ginger, orchid, iris, tuberose, plum, vanilla, amber, musk, cinnamon, sandalwood",https://fimgs.net/images/perfume/nd.427.jpg,,,
93,lost-cherry,tom-ford,False,,"bitter almond, black cherry, cherry liqueur, sour cherry, plum, turkish rose, jasmine sambac, vanilla, tonka bean, cinnamon, peru balsam, benzoin, sandalwood, cloves, cedar, patchouli, vetiver",https://fimgs.net/images/perfume/nd.51411.jpg,,,
94,the-one-for-men-eau-de-parfum,dolce-gabbana,False,,"grapefruit, coriander, basil, cardamom, ginger, orange blossom, amber, tobacco, cedar",https://fimgs.net/images/perfume/nd.31909.jpg,,,
95,viva-la-juicy,juicy-couture,False,,"wild berries, mandarin orange, gardenia, honeysuckle, jasmine, caramel, praline, vanilla, amber, sandalwood",https://fimgs.net/images/perfume/nd.4410.jpg,,,
96,ombre-leather-2018,tom-ford,False,,"cardamom, leather, jasmine sambac, amber, moss, patchouli",https://fimgs.net/images/perfume/nd.50239.jpg,,,
97,sauvage-elixir,dior,False,,"nutmeg, cinnamon, cardamom, grapefruit, lavender, licorice, sandalwood, amber, patchouli, haitian vetiver",https://fimgs.net/images/perfume/nd.68415.jpg,,,
98,la-nuit-tresor,lancome,False,,"pear, tangerine, bergamot, strawberry, vanilla orchid, black rose, passionfruit, praline, caramel, litchi, vanilla, patchouli, incense, coffee, licorice, coumarin, papyrus",https://fimgs.net/images/perfume/nd.29157.jpg,,,
99,prada-l-homme,prada,False,,"neroli, black pepper, cardamom, carrot seeds, iris, violet, geranium, mate, amber, cedar, sandalwood, patchouli",https://fimgs.net/images/perfume/nd.39029.jpg,,,
100,samsara-eau-de-parfum,guerlain,False,,"ylang-ylang, peach, bergamot, green notes, lemon, iris, jasmine, narcissus, orris root, rose, violet, sandalwood, vanilla, amber, tonka bean, musk",https://fimgs.net/images/perfume/nd.55.jpg,,,
101,explorer,montblanc,False,,"bergamot, pink pepper, clary sage, haitian vetiver, leather, ambroxan, akigalawood, indonesian patchouli leaf, cacao pod",https://fimgs.net/images/perfume/nd.52002.jpg,,,
102,l-interdit-eau-de-parfum,givenchy,False,,"pear, bergamot, tuberose, orange blossom, jasmine sambac, patchouli, vanilla, ambroxan, vetiver",https://fimgs.net/images/perfume/nd.51488.jpg,,,
